[2019/04/14 14:26:08][INFO][validateString]  JSON not in correct format..
[2019/04/14 14:26:08][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:08][INFO][validateString]  {"len":8}
[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][WARNING][validateString]  Unable to map JSON to POJO.
[2019/04/14 14:26:08][INFO][validateString]  JSON not in correct format..
[2019/04/14 14:26:08][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:08][INFO][validateString]  some_invalid_string_to_break_json{"input":"veMuCKYQwsEDYRnypcSQRUMQmUWIktfZGQTUONRrBdfOrp diFtebyxBwyHJDbsvoTrBRXoNzhIZQmBgSjDMkqbvRTdAzAUTHXeCN LMbudxHkMIkiiBeGoWUDFMPwuMyTYYsbkAGotw TfWCesqkWfMSJiTRsKxmyNkfgAfoDiOarmVRFPDvAVuXkPMnvqkdTNgyDtkvd CCvjxfYooiteNyfcbm fOyYuH X","len":7}
[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][WARNING][validateString]  Unable to parse JSON.
[2019/04/14 14:26:08][INFO][validateString]  JSON not in correct format..
[2019/04/14 14:26:08][INFO][validateString]  Sentence was NOT entered into database.
[2019/04/14 14:26:08][INFO][validateString]  Received request to validate sentence.
[2019/04/14 14:26:08][INFO][validateString]  {"input":"lThMPjE yasArCKqQCqrMYFscIesQSlIwdbZOiCDcKicL n X g","len":-1}
[2019/04/14 14:26:08][INFO][validateString]  Mapping JSON to request model
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][isValidLength]  Validate length == number of words in sentence
[2019/04/14 14:26:08][INFO][validateString]  Entered length is negative.
